uf,municipio,evento,feminino,masculino,total_vitima,total,ano,mes,dia_semana,latitude,longitude
AL,NÃO INFORMADO,Estupro,35.0,13.0,48.0,,2015,1,Quinta,,
AM,NÃO INFORMADO,Estupro,66.0,13.0,80.0,,2015,1,Quinta,,
AP,NÃO INFORMADO,Estupro,38.0,3.0,42.0,,2015,1,Quinta,,
BA,NÃO INFORMADO,Estupro,214.0,22.0,236.0,,2015,1,Quinta,,
CE,NÃO INFORMADO,Estupro,115.0,18.0,133.0,,2015,1,Quinta,,
DF,NÃO INFORMADO,Estupro,81.0,12.0,93.0,,2015,1,Quinta,,
MA,NÃO INFORMADO,Estupro,74.0,14.0,102.0,,2015,1,Quinta,,
MG,NÃO INFORMADO,Estupro,336.0,65.0,405.0,,2015,1,Quinta,,
MS,NÃO INFORMADO,Estupro,135.0,16.0,307.0,,2015,1,Quinta,,
MT,NÃO INFORMADO,Estupro,81.0,14.0,103.0,,2015,1,Quinta,,
PA,NÃO INFORMADO,Estupro,177.0,13.0,190.0,,2015,1,Quinta,,
PB,NÃO INFORMADO,Estupro,23.0,3.0,26.0,,2015,1,Quinta,,
PE,NÃO INFORMADO,Estupro,190.0,31.0,222.0,,2015,1,Quinta,,
PI,NÃO INFORMADO,Estupro,36.0,5.0,41.0,,2015,1,Quinta,,
RJ,NÃO INFORMADO,Estupro,402.0,76.0,485.0,,2015,1,Quinta,,
RN,NÃO INFORMADO,Estupro,24.0,1.0,26.0,,2015,1,Quinta,,
RO,NÃO INFORMADO,Estupro,24.0,6.0,30.0,,2015,1,Quinta,,
RS,NÃO INFORMADO,Estupro,456.0,89.0,545.0,,2015,1,Quinta,,
SC,NÃO INFORMADO,Estupro,188.0,36.0,224.0,,2015,1,Quinta,,
SP,NÃO INFORMADO,Estupro,820.0,217.0,1101.0,,2015,1,Quinta,,
TO,NÃO INFORMADO,Estupro,18.0,3.0,21.0,,2015,1,Quinta,,
AL,NÃO INFORMADO,Estupro,41.0,4.0,45.0,,2015,2,Domingo,,
AM,NÃO INFORMADO,Estupro,72.0,10.0,85.0,,2015,2,Domingo,,
AP,NÃO INFORMADO,Estupro,17.0,5.0,22.0,,2015,2,Domingo,,
BA,NÃO INFORMADO,Estupro,185.0,34.0,219.0,,2015,2,Domingo,,
CE,NÃO INFORMADO,Estupro,95.0,9.0,104.0,,2015,2,Domingo,,
DF,NÃO INFORMADO,Estupro,62.0,7.0,69.0,,2015,2,Domingo,,
MA,NÃO INFORMADO,Estupro,41.0,10.0,61.0,,2015,2,Domingo,,
MG,NÃO INFORMADO,Estupro,310.0,48.0,359.0,,2015,2,Domingo,,
MS,NÃO INFORMADO,Estupro,24.0,7.0,135.0,,2015,2,Domingo,,
MT,NÃO INFORMADO,Estupro,91.0,7.0,104.0,,2015,2,Domingo,,
PA,NÃO INFORMADO,Estupro,167.0,18.0,185.0,,2015,2,Domingo,,
PB,NÃO INFORMADO,Estupro,22.0,2.0,24.0,,2015,2,Domingo,,
PE,NÃO INFORMADO,Estupro,164.0,25.0,191.0,,2015,2,Domingo,,
PI,NÃO INFORMADO,Estupro,40.0,3.0,43.0,,2015,2,Domingo,,
RJ,NÃO INFORMADO,Estupro,309.0,36.0,346.0,,2015,2,Domingo,,
RN,NÃO INFORMADO,Estupro,13.0,0.0,16.0,,2015,2,Domingo,,
RO,NÃO INFORMADO,Estupro,25.0,11.0,36.0,,2015,2,Domingo,,
RS,NÃO INFORMADO,Estupro,314.0,63.0,377.0,,2015,2,Domingo,,
SC,NÃO INFORMADO,Estupro,148.0,24.0,172.0,,2015,2,Domingo,,
SP,NÃO INFORMADO,Estupro,705.0,184.0,918.0,,2015,2,Domingo,,
TO,NÃO INFORMADO,Estupro,12.0,3.0,15.0,,2015,2,Domingo,,
AL,NÃO INFORMADO,Estupro,54.0,9.0,63.0,,2015,3,Domingo,,
AM,NÃO INFORMADO,Estupro,34.0,9.0,43.0,,2015,3,Domingo,,
AP,NÃO INFORMADO,Estupro,29.0,1.0,30.0,,2015,3,Domingo,,
BA,NÃO INFORMADO,Estupro,191.0,25.0,216.0,,2015,3,Domingo,,
CE,NÃO INFORMADO,Estupro,116.0,24.0,140.0,,2015,3,Domingo,,
DF,NÃO INFORMADO,Estupro,51.0,25.0,76.0,,2015,3,Domingo,,
MA,NÃO INFORMADO,Estupro,49.0,13.0,70.0,,2015,3,Domingo,,
MG,NÃO INFORMADO,Estupro,376.0,50.0,426.0,,2015,3,Domingo,,
MS,NÃO INFORMADO,Estupro,30.0,0.0,132.0,,2015,3,Domingo,,
MT,NÃO INFORMADO,Estupro,103.0,11.0,123.0,,2015,3,Domingo,,
PA,NÃO INFORMADO,Estupro,207.0,11.0,219.0,,2015,3,Domingo,,
PB,NÃO INFORMADO,Estupro,24.0,1.0,25.0,,2015,3,Domingo,,
PE,NÃO INFORMADO,Estupro,182.0,25.0,209.0,,2015,3,Domingo,,
PI,NÃO INFORMADO,Estupro,30.0,6.0,36.0,,2015,3,Domingo,,
RJ,NÃO INFORMADO,Estupro,377.0,59.0,439.0,,2015,3,Domingo,,
RN,NÃO INFORMADO,Estupro,16.0,2.0,18.0,,2015,3,Domingo,,
RO,NÃO INFORMADO,Estupro,44.0,2.0,46.0,,2015,3,Domingo,,
RS,NÃO INFORMADO,Estupro,324.0,44.0,368.0,,2015,3,Domingo,,
SC,NÃO INFORMADO,Estupro,183.0,44.0,228.0,,2015,3,Domingo,,
SP,NÃO INFORMADO,Estupro,820.0,188.0,1054.0,,2015,3,Domingo,,
TO,NÃO INFORMADO,Estupro,10.0,0.0,10.0,,2015,3,Domingo,,
AL,NÃO INFORMADO,Estupro,52.0,6.0,58.0,,2015,4,Quarta,,
AM,NÃO INFORMADO,Estupro,69.0,8.0,78.0,,2015,4,Quarta,,
AP,NÃO INFORMADO,Estupro,27.0,3.0,30.0,,2015,4,Quarta,,
BA,NÃO INFORMADO,Estupro,196.0,21.0,217.0,,2015,4,Quarta,,
CE,NÃO INFORMADO,Estupro,89.0,12.0,101.0,,2015,4,Quarta,,
DF,NÃO INFORMADO,Estupro,46.0,1.0,47.0,,2015,4,Quarta,,
MA,NÃO INFORMADO,Estupro,54.0,9.0,69.0,,2015,4,Quarta,,
MG,NÃO INFORMADO,Estupro,315.0,47.0,364.0,,2015,4,Quarta,,
MS,NÃO INFORMADO,Estupro,28.0,7.0,138.0,,2015,4,Quarta,,
MT,NÃO INFORMADO,Estupro,81.0,9.0,94.0,,2015,4,Quarta,,
PA,NÃO INFORMADO,Estupro,217.0,27.0,248.0,,2015,4,Quarta,,
PB,NÃO INFORMADO,Estupro,15.0,13.0,28.0,,2015,4,Quarta,,
PE,NÃO INFORMADO,Estupro,183.0,23.0,206.0,,2015,4,Quarta,,
PI,NÃO INFORMADO,Estupro,16.0,1.0,17.0,,2015,4,Quarta,,
RJ,NÃO INFORMADO,Estupro,350.0,68.0,420.0,,2015,4,Quarta,,
RN,NÃO INFORMADO,Estupro,16.0,2.0,18.0,,2015,4,Quarta,,
RO,NÃO INFORMADO,Estupro,30.0,7.0,37.0,,2015,4,Quarta,,
RS,NÃO INFORMADO,Estupro,262.0,47.0,309.0,,2015,4,Quarta,,
SC,NÃO INFORMADO,Estupro,147.0,26.0,173.0,,2015,4,Quarta,,
SP,NÃO INFORMADO,Estupro,755.0,159.0,951.0,,2015,4,Quarta,,
TO,NÃO INFORMADO,Estupro,18.0,1.0,19.0,,2015,4,Quarta,,
AL,NÃO INFORMADO,Estupro,44.0,11.0,55.0,,2015,5,Sexta,,
AM,NÃO INFORMADO,Estupro,59.0,7.0,66.0,,2015,5,Sexta,,
AP,NÃO INFORMADO,Estupro,20.0,4.0,24.0,,2015,5,Sexta,,
BA,NÃO INFORMADO,Estupro,200.0,20.0,220.0,,2015,5,Sexta,,
CE,NÃO INFORMADO,Estupro,156.0,18.0,174.0,,2015,5,Sexta,,
DF,NÃO INFORMADO,Estupro,54.0,6.0,60.0,,2015,5,Sexta,,
MA,NÃO INFORMADO,Estupro,73.0,18.0,97.0,,2015,5,Sexta,,
MG,NÃO INFORMADO,Estupro,316.0,54.0,372.0,,2015,5,Sexta,,
MS,NÃO INFORMADO,Estupro,35.0,4.0,123.0,,2015,5,Sexta,,
MT,NÃO INFORMADO,Estupro,110.0,13.0,134.0,,2015,5,Sexta,,
PA,NÃO INFORMADO,Estupro,209.0,26.0,241.0,,2015,5,Sexta,,
PB,NÃO INFORMADO,Estupro,26.0,1.0,27.0,,2015,5,Sexta,,
PE,NÃO INFORMADO,Estupro,164.0,29.0,195.0,,2015,5,Sexta,,
PI,NÃO INFORMADO,Estupro,44.0,5.0,49.0,,2015,5,Sexta,,
RJ,NÃO INFORMADO,Estupro,291.0,54.0,354.0,,2015,5,Sexta,,
RN,NÃO INFORMADO,Estupro,11.0,3.0,14.0,,2015,5,Sexta,,
RO,NÃO INFORMADO,Estupro,44.0,13.0,58.0,,2015,5,Sexta,,
RS,NÃO INFORMADO,Estupro,279.0,64.0,343.0,,2015,5,Sexta,,
SC,NÃO INFORMADO,Estupro,154.0,26.0,181.0,,2015,5,Sexta,,
SP,NÃO INFORMADO,Estupro,669.0,181.0,899.0,,2015,5,Sexta,,
TO,NÃO INFORMADO,Estupro,15.0,3.0,18.0,,2015,5,Sexta,,
AL,NÃO INFORMADO,Estupro,42.0,10.0,52.0,,2015,6,Segunda,,
AM,NÃO INFORMADO,Estupro,61.0,10.0,73.0,,2015,6,Segunda,,
AP,NÃO INFORMADO,Estupro,29.0,9.0,38.0,,2015,6,Segunda,,
BA,NÃO INFORMADO,Estupro,149.0,17.0,166.0,,2015,6,Segunda,,
CE,NÃO INFORMADO,Estupro,109.0,14.0,123.0,,2015,6,Segunda,,
DF,NÃO INFORMADO,Estupro,46.0,6.0,52.0,,2015,6,Segunda,,
MA,NÃO INFORMADO,Estupro,69.0,14.0,88.0,,2015,6,Segunda,,
MG,NÃO INFORMADO,Estupro,343.0,54.0,397.0,,2015,6,Segunda,,
MS,NÃO INFORMADO,Estupro,40.0,2.0,153.0,,2015,6,Segunda,,
MT,NÃO INFORMADO,Estupro,81.0,19.0,107.0,,2015,6,Segunda,,
PA,NÃO INFORMADO,Estupro,212.0,22.0,245.0,,2015,6,Segunda,,
PB,NÃO INFORMADO,Estupro,19.0,3.0,22.0,,2015,6,Segunda,,
PE,NÃO INFORMADO,Estupro,174.0,15.0,190.0,,2015,6,Segunda,,
PI,NÃO INFORMADO,Estupro,47.0,4.0,52.0,,2015,6,Segunda,,
RJ,NÃO INFORMADO,Estupro,333.0,52.0,389.0,,2015,6,Segunda,,
RN,NÃO INFORMADO,Estupro,20.0,0.0,22.0,,2015,6,Segunda,,
RO,NÃO INFORMADO,Estupro,51.0,6.0,57.0,,2015,6,Segunda,,
RS,NÃO INFORMADO,Estupro,291.0,44.0,335.0,,2015,6,Segunda,,
SC,NÃO INFORMADO,Estupro,139.0,28.0,168.0,,2015,6,Segunda,,
SP,NÃO INFORMADO,Estupro,698.0,139.0,868.0,,2015,6,Segunda,,
TO,NÃO INFORMADO,Estupro,1.0,0.0,1.0,,2015,6,Segunda,,
AL,NÃO INFORMADO,Estupro,42.0,7.0,49.0,,2015,7,Quarta,,
AM,NÃO INFORMADO,Estupro,60.0,14.0,74.0,,2015,7,Quarta,,
AP,NÃO INFORMADO,Estupro,19.0,2.0,22.0,,2015,7,Quarta,,
BA,NÃO INFORMADO,Estupro,193.0,25.0,218.0,,2015,7,Quarta,,
CE,NÃO INFORMADO,Estupro,106.0,26.0,134.0,,2015,7,Quarta,,
DF,NÃO INFORMADO,Estupro,53.0,10.0,63.0,,2015,7,Quarta,,
MA,NÃO INFORMADO,Estupro,63.0,13.0,84.0,,2015,7,Quarta,,
MG,NÃO INFORMADO,Estupro,330.0,55.0,385.0,,2015,7,Quarta,,
MS,NÃO INFORMADO,Estupro,40.0,6.0,145.0,,2015,7,Quarta,,
MT,NÃO INFORMADO,Estupro,99.0,11.0,121.0,,2015,7,Quarta,,
PA,NÃO INFORMADO,Estupro,229.0,22.0,252.0,,2015,7,Quarta,,
PB,NÃO INFORMADO,Estupro,11.0,4.0,15.0,,2015,7,Quarta,,
PE,NÃO INFORMADO,Estupro,152.0,15.0,168.0,,2015,7,Quarta,,
PI,NÃO INFORMADO,Estupro,33.0,5.0,38.0,,2015,7,Quarta,,
RJ,NÃO INFORMADO,Estupro,355.0,66.0,427.0,,2015,7,Quarta,,
RN,NÃO INFORMADO,Estupro,10.0,1.0,11.0,,2015,7,Quarta,,
RO,NÃO INFORMADO,Estupro,42.0,4.0,46.0,,2015,7,Quarta,,
RS,NÃO INFORMADO,Estupro,249.0,54.0,303.0,,2015,7,Quarta,,
SC,NÃO INFORMADO,Estupro,129.0,19.0,150.0,,2015,7,Quarta,,
SP,NÃO INFORMADO,Estupro,703.0,191.0,935.0,,2015,7,Quarta,,
TO,NÃO INFORMADO,Estupro,15.0,2.0,17.0,,2015,7,Quarta,,
AL,NÃO INFORMADO,Estupro,55.0,6.0,61.0,,2015,8,Sábado,,
AM,NÃO INFORMADO,Estupro,73.0,10.0,84.0,,2015,8,Sábado,,
AP,NÃO INFORMADO,Estupro,27.0,1.0,28.0,,2015,8,Sábado,,
BA,NÃO INFORMADO,Estupro,196.0,26.0,222.0,,2015,8,Sábado,,
CE,NÃO INFORMADO,Estupro,133.0,19.0,152.0,,2015,8,Sábado,,
DF,NÃO INFORMADO,Estupro,49.0,7.0,56.0,,2015,8,Sábado,,
MA,NÃO INFORMADO,Estupro,62.0,18.0,84.0,,2015,8,Sábado,,
MG,NÃO INFORMADO,Estupro,376.0,63.0,440.0,,2015,8,Sábado,,
MS,NÃO INFORMADO,Estupro,40.0,7.0,167.0,,2015,8,Sábado,,
MT,NÃO INFORMADO,Estupro,126.0,18.0,156.0,,2015,8,Sábado,,
PA,NÃO INFORMADO,Estupro,196.0,21.0,217.0,,2015,8,Sábado,,
PB,NÃO INFORMADO,Estupro,18.0,4.0,22.0,,2015,8,Sábado,,
PE,NÃO INFORMADO,Estupro,162.0,20.0,184.0,,2015,8,Sábado,,
PI,NÃO INFORMADO,Estupro,44.0,8.0,52.0,,2015,8,Sábado,,
RJ,NÃO INFORMADO,Estupro,374.0,53.0,436.0,,2015,8,Sábado,,
RN,NÃO INFORMADO,Estupro,9.0,2.0,12.0,,2015,8,Sábado,,
RO,NÃO INFORMADO,Estupro,39.0,4.0,43.0,,2015,8,Sábado,,
RS,NÃO INFORMADO,Estupro,299.0,49.0,348.0,,2015,8,Sábado,,
SC,NÃO INFORMADO,Estupro,160.0,34.0,194.0,,2015,8,Sábado,,
SP,NÃO INFORMADO,Estupro,754.0,196.0,982.0,,2015,8,Sábado,,
TO,NÃO INFORMADO,Estupro,23.0,1.0,24.0,,2015,8,Sábado,,
AL,NÃO INFORMADO,Estupro,44.0,3.0,47.0,,2015,9,Terça,,
AM,NÃO INFORMADO,Estupro,64.0,12.0,76.0,,2015,9,Terça,,
AP,NÃO INFORMADO,Estupro,27.0,0.0,28.0,,2015,9,Terça,,
BA,NÃO INFORMADO,Estupro,223.0,23.0,246.0,,2015,9,Terça,,
CE,NÃO INFORMADO,Estupro,130.0,18.0,148.0,,2015,9,Terça,,
DF,NÃO INFORMADO,Estupro,48.0,8.0,56.0,,2015,9,Terça,,
MA,NÃO INFORMADO,Estupro,78.0,14.0,102.0,,2015,9,Terça,,
MG,NÃO INFORMADO,Estupro,343.0,45.0,390.0,,2015,9,Terça,,
MS,NÃO INFORMADO,Estupro,35.0,3.0,133.0,,2015,9,Terça,,
MT,NÃO INFORMADO,Estupro,124.0,20.0,162.0,,2015,9,Terça,,
PA,NÃO INFORMADO,Estupro,243.0,16.0,260.0,,2015,9,Terça,,
PB,NÃO INFORMADO,Estupro,21.0,2.0,23.0,,2015,9,Terça,,
PE,NÃO INFORMADO,Estupro,168.0,33.0,202.0,,2015,9,Terça,,
PI,NÃO INFORMADO,Estupro,46.0,6.0,53.0,,2015,9,Terça,,
RJ,NÃO INFORMADO,Estupro,328.0,55.0,388.0,,2015,9,Terça,,
RN,NÃO INFORMADO,Estupro,20.0,2.0,23.0,,2015,9,Terça,,
RO,NÃO INFORMADO,Estupro,38.0,8.0,46.0,,2015,9,Terça,,
RS,NÃO INFORMADO,Estupro,292.0,36.0,328.0,,2015,9,Terça,,
SC,NÃO INFORMADO,Estupro,158.0,21.0,179.0,,2015,9,Terça,,
SP,NÃO INFORMADO,Estupro,808.0,212.0,1060.0,,2015,9,Terça,,
TO,NÃO INFORMADO,Estupro,24.0,9.0,33.0,,2015,9,Terça,,
AL,NÃO INFORMADO,Estupro,58.0,12.0,70.0,,2015,10,Quinta,,
AM,NÃO INFORMADO,Estupro,67.0,5.0,72.0,,2015,10,Quinta,,
AP,NÃO INFORMADO,Estupro,33.0,3.0,36.0,,2015,10,Quinta,,
BA,NÃO INFORMADO,Estupro,199.0,35.0,234.0,,2015,10,Quinta,,
CE,NÃO INFORMADO,Estupro,134.0,19.0,153.0,,2015,10,Quinta,,
DF,NÃO INFORMADO,Estupro,49.0,6.0,55.0,,2015,10,Quinta,,
MA,NÃO INFORMADO,Estupro,76.0,12.0,94.0,,2015,10,Quinta,,
MG,NÃO INFORMADO,Estupro,353.0,50.0,404.0,,2015,10,Quinta,,
MS,NÃO INFORMADO,Estupro,43.0,1.0,149.0,,2015,10,Quinta,,
MT,NÃO INFORMADO,Estupro,123.0,15.0,149.0,,2015,10,Quinta,,
PA,NÃO INFORMADO,Estupro,237.0,18.0,256.0,,2015,10,Quinta,,
PB,NÃO INFORMADO,Estupro,23.0,2.0,25.0,,2015,10,Quinta,,
PE,NÃO INFORMADO,Estupro,170.0,30.0,203.0,,2015,10,Quinta,,
PI,NÃO INFORMADO,Estupro,40.0,5.0,46.0,,2015,10,Quinta,,
RJ,NÃO INFORMADO,Estupro,329.0,51.0,383.0,,2015,10,Quinta,,
RN,NÃO INFORMADO,Estupro,17.0,1.0,19.0,,2015,10,Quinta,,
RO,NÃO INFORMADO,Estupro,43.0,10.0,53.0,,2015,10,Quinta,,
RS,NÃO INFORMADO,Estupro,320.0,54.0,374.0,,2015,10,Quinta,,
SC,NÃO INFORMADO,Estupro,157.0,29.0,186.0,,2015,10,Quinta,,
SP,NÃO INFORMADO,Estupro,885.0,177.0,1112.0,,2015,10,Quinta,,
TO,NÃO INFORMADO,Estupro,23.0,4.0,27.0,,2015,10,Quinta,,
AL,NÃO INFORMADO,Estupro,44.0,6.0,50.0,,2015,11,Domingo,,
AM,NÃO INFORMADO,Estupro,61.0,9.0,70.0,,2015,11,Domingo,,
AP,NÃO INFORMADO,Estupro,38.0,3.0,43.0,,2015,11,Domingo,,
BA,NÃO INFORMADO,Estupro,205.0,23.0,228.0,,2015,11,Domingo,,
CE,NÃO INFORMADO,Estupro,103.0,21.0,124.0,,2015,11,Domingo,,
DF,NÃO INFORMADO,Estupro,52.0,11.0,63.0,,2015,11,Domingo,,
MA,NÃO INFORMADO,Estupro,71.0,16.0,88.0,,2015,11,Domingo,,
MG,NÃO INFORMADO,Estupro,371.0,57.0,432.0,,2015,11,Domingo,,
MS,NÃO INFORMADO,Estupro,45.0,4.0,145.0,,2015,11,Domingo,,
MT,NÃO INFORMADO,Estupro,115.0,15.0,133.0,,2015,11,Domingo,,
PA,NÃO INFORMADO,Estupro,213.0,21.0,236.0,,2015,11,Domingo,,
PB,NÃO INFORMADO,Estupro,26.0,1.0,27.0,,2015,11,Domingo,,
PE,NÃO INFORMADO,Estupro,167.0,26.0,195.0,,2015,11,Domingo,,
PI,NÃO INFORMADO,Estupro,48.0,3.0,51.0,,2015,11,Domingo,,
RJ,NÃO INFORMADO,Estupro,338.0,63.0,405.0,,2015,11,Domingo,,
RN,NÃO INFORMADO,Estupro,15.0,0.0,19.0,,2015,11,Domingo,,
RO,NÃO INFORMADO,Estupro,36.0,7.0,43.0,,2015,11,Domingo,,
RS,NÃO INFORMADO,Estupro,250.0,48.0,298.0,,2015,11,Domingo,,
SC,NÃO INFORMADO,Estupro,149.0,30.0,179.0,,2015,11,Domingo,,
SP,NÃO INFORMADO,Estupro,848.0,194.0,1070.0,,2015,11,Domingo,,
TO,NÃO INFORMADO,Estupro,18.0,2.0,20.0,,2015,11,Domingo,,
AL,NÃO INFORMADO,Estupro,42.0,8.0,50.0,,2015,12,Terça,,
AM,NÃO INFORMADO,Estupro,49.0,12.0,62.0,,2015,12,Terça,,
AP,NÃO INFORMADO,Estupro,27.0,3.0,30.0,,2015,12,Terça,,
BA,NÃO INFORMADO,Estupro,161.0,25.0,186.0,,2015,12,Terça,,
CE,NÃO INFORMADO,Estupro,83.0,11.0,94.0,,2015,12,Terça,,
DF,NÃO INFORMADO,Estupro,41.0,12.0,53.0,,2015,12,Terça,,
MA,NÃO INFORMADO,Estupro,61.0,18.0,82.0,,2015,12,Terça,,
MG,NÃO INFORMADO,Estupro,337.0,58.0,396.0,,2015,12,Terça,,
MS,NÃO INFORMADO,Estupro,55.0,5.0,158.0,,2015,12,Terça,,
MT,NÃO INFORMADO,Estupro,139.0,14.0,153.0,,2015,12,Terça,,
PA,NÃO INFORMADO,Estupro,181.0,14.0,202.0,,2015,12,Terça,,
PB,NÃO INFORMADO,Estupro,23.0,2.0,25.0,,2015,12,Terça,,
PE,NÃO INFORMADO,Estupro,161.0,21.0,182.0,,2015,12,Terça,,
PI,NÃO INFORMADO,Estupro,60.0,3.0,63.0,,2015,12,Terça,,
RJ,NÃO INFORMADO,Estupro,342.0,68.0,415.0,,2015,12,Terça,,
RN,NÃO INFORMADO,Estupro,15.0,2.0,18.0,,2015,12,Terça,,
RO,NÃO INFORMADO,Estupro,32.0,4.0,36.0,,2015,12,Terça,,
RS,NÃO INFORMADO,Estupro,378.0,46.0,424.0,,2015,12,Terça,,
SC,NÃO INFORMADO,Estupro,190.0,25.0,215.0,,2015,12,Terça,,
SP,NÃO INFORMADO,Estupro,769.0,186.0,981.0,,2015,12,Terça,,
TO,NÃO INFORMADO,Estupro,14.0,0.0,14.0,,2015,12,Terça,,
MG,ABAETÉ,Feminicídio,1.0,0.0,1.0,,2015,1,Quinta,-19.1566833,-45.4481213
MG,ÁGUA BOA,Feminicídio,1.0,0.0,1.0,,2015,1,Quinta,-17.9956411,-42.3899261
MG,BELO HORIZONTE,Feminicídio,3.0,0.0,3.0,,2015,1,Quinta,-19.9227318,-43.9450948
MG,BETIM,Feminicídio,1.0,0.0,1.0,,2015,1,Quinta,-19.968056,-44.198333
MG,BRASILÂNDIA DE MINAS,Feminicídio,1.0,0.0,1.0,,2015,1,Quinta,-17.0096409,-46.0087622
MG,CRUZÍLIA,Feminicídio,1.0,0.0,1.0,,2015,1,Quinta,-21.838333,-44.808056
MG,DIAMANTINA,Feminicídio,1.0,0.0,1.0,,2015,1,Quinta,-18.2440862,-43.6006487
MG,GOVERNADOR VALADARES,Feminicídio,1.0,0.0,1.0,,2015,1,Quinta,-18.8698882,-41.9459383
MG,ITABIRA,Feminicídio,2.0,0.0,2.0,,2015,1,Quinta,-19.6190169,-43.226248
MG,ITAJUBÁ,Feminicídio,1.0,0.0,1.0,,2015,1,Quinta,-22.4238234,-45.4524156
MG,ITAMBACURI,Feminicídio,1.0,0.0,1.0,,2015,1,Quinta,-18.0391974,-41.6751876
MG,MATUTINA,Feminicídio,1.0,0.0,1.0,,2015,1,Quinta,-19.221956,-45.9701654
MG,MINAS NOVAS,Feminicídio,1.0,0.0,1.0,,2015,1,Quinta,-17.2174817,-42.5948698
MG,OURO PRETO,Feminicídio,2.0,0.0,2.0,,2015,1,Quinta,-20.385527,-43.5035214
MG,PASSOS,Feminicídio,1.0,0.0,1.0,,2015,1,Quinta,-20.7167803,-46.6156864
MG,SANTA FÉ DE MINAS,Feminicídio,1.0,0.0,1.0,,2015,1,Quinta,-16.689174,-45.4139828
MG,SÃO FRANCISCO DE SALES,Feminicídio,1.0,0.0,1.0,,2015,1,Quinta,-19.863056,-49.773889
PA,ALTAMIRA,Feminicídio,1.0,0.0,1.0,,2015,1,Quinta,-3.204065,-52.209961
PA,BELÉM,Feminicídio,1.0,0.0,1.0,,2015,1,Quinta,-1.45056,-48.4682453
PA,PARAUAPEBAS,Feminicídio,1.0,0.0,1.0,,2015,1,Quinta,-6.0696846,-49.8903283
PA,SÃO GERALDO DO ARAGUAIA,Feminicídio,1.0,0.0,1.0,,2015,1,Quinta,-6.3927847,-48.5630137
PA,TOMÉ-AÇU,Feminicídio,1.0,0.0,1.0,,2015,1,Quinta,-2.4166306,-48.1522907
RN,NÍSIA FLORESTA,Feminicídio,1.0,0.0,1.0,,2015,1,Quinta,-6.0902674,-35.2085026
RN,SÃO GONÇALO DO AMARANTE,Feminicídio,1.0,0.0,1.0,,2015,1,Quinta,-5.7932331,-35.3286312
RN,TOUROS,Feminicídio,1.0,0.0,1.0,,2015,1,Quinta,-5.1998625,-35.4595051
RR,NÃO INFORMADO,Feminicídio,6.0,0.0,6.0,,2015,1,Quinta,,
RS,PASSO FUNDO,Feminicídio,1.0,0.0,1.0,,2015,1,Quinta,-28.2550598,-52.3966606
RS,SANTA BÁRBARA DO SUL,Feminicídio,1.0,0.0,1.0,,2015,1,Quinta,-28.3654722,-53.2510995
RS,SANTA CRUZ DO SUL,Feminicídio,1.0,0.0,1.0,,2015,1,Quinta,-29.714209,-52.4285807
RS,SANTO AUGUSTO,Feminicídio,1.0,0.0,1.0,,2015,1,Quinta,-27.852577,-53.777605
RS,SÃO BORJA,Feminicídio,1.0,0.0,1.0,,2015,1,Quinta,-28.6592237,-56.0044295
SC,BIGUAÇU,Feminicídio,1.0,0.0,1.0,,2015,1,Quinta,-27.4961277,-48.6542432
SC,CHAPECÓ,Feminicídio,2.0,0.0,2.0,,2015,1,Quinta,-27.1110472,-52.59589774661534
SC,PALMA SOLA,Feminicídio,1.0,0.0,1.0,,2015,1,Quinta,-26.3482487,-53.2775974
SC,POMERODE,Feminicídio,1.0,0.0,1.0,,2015,1,Quinta,-26.72609595,-49.17335272389504
SC,SÃO MIGUEL DO OESTE,Feminicídio,1.0,0.0,1.0,,2015,1,Quinta,-26.7278977,-53.5176689
MG,CARMO DO PARANAÍBA,Feminicídio,1.0,0.0,1.0,,2015,2,Domingo,-18.9992327,-46.306916
MG,FELIXLÂNDIA,Feminicídio,1.0,0.0,1.0,,2015,2,Domingo,-18.7573983,-44.8991465
MG,JANAÚBA,Feminicídio,1.0,0.0,1.0,,2015,2,Domingo,-15.8103735,-43.3052119
MG,JOAÍMA,Feminicídio,1.0,0.0,1.0,,2015,2,Domingo,-16.6550626,-41.0251754
MG,LAGOA SANTA,Feminicídio,1.0,0.0,1.0,,2015,2,Domingo,-19.6357376,-43.8966132
MG,LAJINHA,Feminicídio,1.0,0.0,1.0,,2015,2,Domingo,-20.1520595,-41.6240623
MG,MUNHOZ,Feminicídio,1.0,0.0,1.0,,2015,2,Domingo,-22.613056,-46.360556
MG,PIRAPORA,Feminicídio,1.0,0.0,1.0,,2015,2,Domingo,-17.3493765,-44.9507904
MG,PRATA,Feminicídio,1.0,0.0,1.0,,2015,2,Domingo,-19.307222,-48.923889
MG,SARZEDO,Feminicídio,1.0,0.0,1.0,,2015,2,Domingo,-20.0353,-44.1453
MS,PARANAÍBA,Feminicídio,1.0,0.0,1.0,,2015,2,Domingo,-19.6751971,-51.1874986
PA,REDENÇÃO,Feminicídio,1.0,0.0,1.0,,2015,2,Domingo,-8.0299327,-50.0309543
PA,SALINÓPOLIS,Feminicídio,1.0,0.0,1.0,,2015,2,Domingo,-0.6259282,-47.3442819
PA,SANTA MARIA DAS BARREIRAS,Feminicídio,1.0,0.0,1.0,,2015,2,Domingo,-8.8710157,-49.7171263
